demand,month,price,region,sales,revenue,weekly_demand,storage_dist,g_p_dist,p_s_dist,num_tanker_cars_needed,tanker_car_weekly_purchase_cost,tanker_car_weekly_travel_cost,g_p_weekly_cost,storage_market_weekly_cost,weekly_proc_build,weekly_proc_maint,manufacturing_cost,raw_material_cost,profit
286,Sep,4,NE,143,2288000,71.5,479.1429,773,317,2.38333333333333,4965.27777777778,27198.6,12159.29,41110.46082,11916.6666666667,670390.625,143000,93603.6137625637,1283655.46597299
313,Oct,3.72727272727,NE,313,2333272.72727102,78.25,479.1429,773,317,2.60833333333333,5434.02777777778,29766.3,13307.195,44991.51831,13041.6666666667,670742.1875,156500,102440.31855833,1297049.51345825
332,Nov,3.45454545455,NE,332,2293818.1818212,83,479.1429,773,317,2.76666666666667,5763.88888888889,31573.2,14114.98,47722.63284,13833.3333333333,670989.583333333,166000,108658.740451647,1235161.822974
428,Dec,3.18181818182,NE,428,2723636.36363792,107,479.1429,773,317,3.56666666666667,7430.55555555556,40702.8,18196.42,61521.94836,17833.3333333333,672239.583333333,214000,140078.135281039,1551633.58777466
564,Jan,2.90909090909,NE,564,3281454.54545352,141,479.1429,773,317,4.7,9791.66666666667,53636.4,23978.46,81070.97868,23500,674010.416666667,282000,184588.944622678,1948877.67881751
690,Feb,2.63636363636,NE,690,3638181.8181768,172.5,479.1429,773,317,5.75,11979.1666666667,65619,29335.35,99182.5803,28750,675651.041666667,345000,225826.900336255,2156837.77920721
874,Mar,2.36363636364,NE,874,4131636.36364272,218.5,479.1429,773,317,7.28333333333333,15173.6111111111,83117.4,37158.11,125631.26838,36416.6666666667,678046.875,437000,286047.40709259,2433045.02539235
1238,Apr,2.09090909091,NE,1238,5177090.90909316,309.5,479.1429,773,317,10.3166666666667,21493.0555555556,117733.8,52633.57,177953.67306,51583.3333333333,682786.458333333,619000,405179.279154034,3048727.7396569
1751,May,1.81818181818,NE,1751,6367272.72726636,437.75,479.1429,773,317,14.5916666666667,30399.3055555556,166520.1,74443.765,251693.76537,72958.3333333333,689466.145833333,875500,573076.670273598,3633214.64190054
0,Jun,1.54545454545,NE,1014.845861,0,0,479.1429,773,317,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Jul,1.27272727273,NE,680.816248914,0,0,479.1429,773,317,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Aug,1,NE,574.158396371,0,0,479.1429,773,317,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
620,Sep,4,MA,310,4960000,155,286.7647,773,317,5.16666666666667,10763.8888888889,58962,26359.3,53338.2342,25833.3333333333,674739.583333333,310000,202916.924939823,3597086.73530462
613,Oct,3.72727272727,MA,613,4569636.36363302,153.25,286.7647,773,317,5.10833333333333,10642.3611111111,58296.3,26061.695,52736.02833,25541.6666666667,674648.4375,306500,200625.92740018,3214583.94762506
866,Nov,3.45454545455,MA,866,5983272.7272806,216.5,286.7647,773,317,7.21666666666667,15034.7222222222,82356.6,36817.99,74501.46906,36083.3333333333,677942.708333333,433000,283429.12419014,4344106.78014157
990,Dec,3.18181818182,MA,990,6300000.0000036,247.5,286.7647,773,317,8.25,17187.5,94149,42089.85,85169.1159,41250,679557.291666667,495000,324012.509178105,4521584.73325883
1296,Jan,2.90909090909,MA,1296,7540363.63636128,324,286.7647,773,317,10.8,22500,123249.6,55099.44,111494.11536,54000,683541.666666667,648000,424161.830196792,5418316.98413782
1537,Feb,2.63636363636,MA,1537,8104181.81817064,384.25,286.7647,773,317,12.8083333333333,26684.0277777778,146168.7,65345.555,132227.20317,64041.6666666667,686679.6875,768500,503037.602633078,5711497.37542312
1845,Mar,2.36363636364,MA,1845,8721818.1818316,461.25,286.7647,773,317,15.375,32031.25,175459.5,78440.175,158724.26145,76875,690690.104166667,922500,603841.494377377,5983256.39683756
3067,Apr,2.09090909091,MA,3067,12825636.3636419,766.75,286.7647,773,317,25.5583333333333,53246.5277777778,291671.7,130393.505,263852.20047,127791.666666667,706601.5625,1533500,1003784.20772651,8714794.99350098
3678,May,1.81818181818,MA,3678,13374545.4545321,919.5,286.7647,773,317,30.65,63854.1666666667,349777.8,156370.17,316416.16998,153250,714557.291666667,1839000,1203755.56440108,8577564.29181767
0,Jun,1.54545454545,MA,2723.12474119,0,0,286.7647,773,317,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Jul,1.27272727273,MA,1468.31502356,0,0,286.7647,773,317,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Aug,1,MA,1202.61857277,0,0,286.7647,773,317,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
276,Sep,4,SE,138,2208000,69,712.1667,773,317,2.3,4791.66666666667,26247.6,11734.14,58967.40276,11500,670260.416666667,138000,90330.760134502,1196168.01377216
356,Oct,3.72727272727,SE,356,2653818.18181624,89,712.1667,773,317,2.96666666666667,6180.55555555556,33855.6,15135.34,76059.40356,14833.3333333333,671302.083333333,178000,116513.589158995,1541938.27687502
412,Nov,3.45454545455,SE,412,2846545.4545492,103,712.1667,773,317,3.43333333333333,7152.77777777778,39181.2,17516.18,88023.80412,17166.6666666667,672031.25,206000,134841.569476141,1664632.00650861
530,Dec,3.18181818182,SE,530,3372727.2727292,132.5,712.1667,773,317,4.41666666666667,9201.38888888889,50403,22532.95,113234.5053,22083.3333333333,673567.708333333,265000,173461.242287268,2043243.14458638
586,Jan,2.90909090909,SE,586,3409454.54545348,146.5,712.1667,773,317,4.88333333333333,10173.6111111111,55728.6,24913.79,125198.90586,24416.6666666667,674296.875,293000,191789.222604414,2009936.87421129
592,Feb,2.63636363636,SE,592,3121454.54545024,148,712.1667,773,317,4.93333333333333,10277.7777777778,56299.2,25168.88,126480.80592,24666.6666666667,674375,296000,193752.934781251,1714433.28030455
912,Mar,2.36363636364,SE,912,4311272.72727936,228,712.1667,773,317,7.6,15833.3333333333,86731.2,38773.68,194848.80912,38000,678541.666666667,456000,298484.250879224,2504059.78728014
1089,Apr,2.09090909091,SE,1089,4554000.00000198,272.25,712.1667,773,317,9.075,18906.25,103563.9,46298.835,232664.86089,45375,680846.354166667,544500,356413.760095915,2525431.0398494
1421,May,1.81818181818,SE,1421,5167272.72726756,355.25,712.1667,773,317,11.8416666666667,24670.1388888889,135137.1,60413.815,303596.66421,59208.3333333333,685169.270833333,710500,465072.500547563,2723504.90445444
0,Jun,1.54545454545,SE,1012.78905206,0,0,712.1667,773,317,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Jul,1.27272727273,SE,607.177087379,0,0,712.1667,773,317,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Aug,1,SE,486.347543594,0,0,712.1667,773,317,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
378,Sep,4,MW,189,3024000,94.5,368.5909,1528,98,3.15,6562.5,11113.2,31767.12,41798.20806,15750,671588.541666667,189000,123713.867140731,1932706.5631326
451,Oct,3.72727272727,MW,451,3361999.99999754,112.75,368.5909,1528,98,3.75833333333333,7829.86111111111,13259.4,37902.04,49870.34877,18791.6666666667,672539.0625,225500,147605.698625581,2188701.92232418
638,Nov,3.45454545455,MW,638,4408000.0000058,159.5,368.5909,1528,98,5.31666666666667,11076.3888888889,18757.2,53617.52,70548.29826,26583.3333333333,674973.958333333,319000,208808.061470334,3024635.23971991
654,Dec,3.18181818182,MW,654,4161818.18182056,163.5,368.5909,1528,98,5.45,11354.1666666667,19227.6,54962.16,72317.53458,27250,675182.291666667,327000,214044.627275233,2760479.80163199
886,Jan,2.90909090909,MW,886,5154909.09090748,221.5,368.5909,1528,98,7.38333333333333,15381.9444444444,26048.4,74459.44,97971.46122,36916.6666666667,678203.125,443000,289974.831446264,3492953.2221301
1030,Feb,2.63636363636,MW,1030,5430909.0909016,257.5,368.5909,1528,98,8.58333333333333,17881.9444444444,30282,86561.2,113894.5881,42916.6666666667,680078.125,515000,337103.923690352,3607190.64300014
1268,Mar,2.36363636364,MW,1268,5994181.81819104,317,368.5909,1528,98,10.5666666666667,22013.8888888889,37279.2,106562.72,140211.97836,52833.3333333333,683177.083333333,634000,414997.840038219,3903105.77423727
1712,Apr,2.09090909091,MW,1712,7159272.72727584,428,368.5909,1528,98,14.2666666666667,29722.2222222222,50332.8,143876.48,189308.28624,71333.3333333333,688958.333333333,856000,560312.541124157,4569428.73102279
2048,May,1.81818181818,MW,2048,7447272.72726528,512,368.5909,1528,98,17.0666666666667,35555.5555555556,60211.2,172113.92,226462.24896,85333.3333333333,693333.333333333,1024000,670280.423027029,4479982.71305603
0,Jun,1.54545454545,MW,1530.80518806,0,0,368.5909,1528,98,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Jul,1.27272727273,MW,1195.29549081,0,0,368.5909,1528,98,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Aug,1,MW,745.174327155,0,0,368.5909,1528,98,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
434,Sep,4,DS,217,3472000,108.5,413.375,381,140,3.61666666666667,7534.72222222222,18228,9094.47,53821.425,18083.3333333333,672317.708333333,217000,164148.154692874,2311772.18641824
381,Oct,3.72727272727,DS,381,2840181.81817974,95.25,413.375,381,140,3.175,6614.58333333333,16002,7983.855,47248.7625,15875,671627.604166667,190500,144102.412299504,1740227.60088024
635,Nov,3.45454545455,DS,635,4387272.7272785,158.75,413.375,381,140,5.29166666666667,11024.3055555556,26670,13306.425,78747.9375,26458.3333333333,674934.895833333,317500,240170.687165841,2998460.14289044
715,Dec,3.18181818182,DS,715,4550000.0000026,178.75,413.375,381,140,5.95833333333333,12413.1944444444,30030,14982.825,88668.9375,29791.6666666667,675976.5625,357500,270428.411533191,3070208.4023583
697,Jan,2.90909090909,DS,697,4055272.72727146,174.25,413.375,381,140,5.80833333333333,12100.6944444444,29274,14605.635,86436.7125,29041.6666666667,675742.1875,348500,263620.423550537,2595951.40760981
1008,Feb,2.63636363636,DS,1008,5314909.09090176,252,413.375,381,140,8.4,17500,42336,21122.64,125004.6,42000,679791.666666667,504000,381247.32702861,3501906.85720648
1396,Mar,2.36363636364,DS,1396,6599272.72728288,349,413.375,381,140,11.6333333333333,24236.1111111111,58632,29253.18,173121.45,58166.6666666667,684843.75,698000,527997.290210258,4345022.27929485
1870,Apr,2.09090909091,DS,1870,7820000.0000034,467.5,413.375,381,140,15.5833333333333,32465.2777777778,78540,39185.85,231903.375,77916.6666666667,691015.625,935000,707274.307086806,5026698.89847215
2610,May,1.81818181818,DS,2610,9490909.0908996,652.5,413.375,381,140,21.75,45312.5,109620,54692.55,323672.625,108750,700651.041666667,1305000,987158.257484794,5856052.11674814
0,Jun,1.54545454545,DS,2286.47603134,0,0,413.375,381,140,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Jul,1.27272727273,DS,1393.26018499,0,0,413.375,381,140,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Aug,1,DS,871.602276406,0,0,413.375,381,140,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
110,Sep,4,NW,55,880000,27.5,659.125,351,393,0.916666666666667,1909.72222222222,12969,2123.55,21751.125,4583.33333333333,668098.958333333,55000,39775.3521130487,73788.9589980623
146,Oct,3.72727272727,NW,146,1088363.63636284,36.5,659.125,351,393,1.21666666666667,2534.72222222222,17213.4,2818.53,28869.675,6083.33333333333,668567.708333333,73000,52792.7400773193,236483.527396632
172,Nov,3.45454545455,NW,172,1188363.6363652,43,659.125,351,393,1.43333333333333,2986.11111111111,20278.8,3320.46,34010.85,7166.66666666667,668906.25,86000,62194.1869404035,303500.311647019
188,Dec,3.18181818182,NW,188,1196363.63636432,47,659.125,351,393,1.56666666666667,3263.88888888889,22165.2,3629.34,37174.65,7833.33333333333,669114.583333333,94000,67979.6927023015,291202.948106463
266,Jan,2.90909090909,NW,266,1547636.36363588,66.5,659.125,351,393,2.21666666666667,4618.05555555556,31361.4,5135.13,52598.175,11083.3333333333,670130.208333333,133000,96184.0332915543,543526.028122103
278,Feb,2.63636363636,NW,278,1465818.18181616,69.5,659.125,351,393,2.31666666666667,4826.38888888889,32776.2,5366.79,54971.025,11583.3333333333,670286.458333333,139000,100523.162612978,446484.823647627
509,Mar,2.36363636364,NW,509,2406181.81818552,127.25,659.125,351,393,4.24166666666667,8836.80555555555,60011.1,9826.245,100648.3875,21208.3333333333,673294.270833333,254500,184051.40205038,1093805.27391292
500,Apr,2.09090909091,NW,500,2090909.09091,125,659.125,351,393,4.16666666666667,8680.55555555556,58950,9652.5,98868.75,20833.3333333333,673177.083333333,250000,180797.055059313,789949.813628465
579,May,1.81818181818,NW,579,2105454.54545244,144.75,659.125,351,393,4.825,10052.0833333333,68264.1,11177.595,114490.0125,24125,674205.729166667,289500,209362.989758684,704277.035693756
0,Jun,1.54545454545,NW,632.029038959,0,0,659.125,351,393,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Jul,1.27272727273,NW,569.196247186,0,0,659.125,351,393,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Aug,1,NW,338.604411237,0,0,659.125,351,393,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
272,Sep,4,SW,136,2176000,68,659,351,393,2.26666666666667,4722.22222222222,32068.8,5250.96,53774.4,11333.3333333333,670208.333333333,136000,98353.597952266,1164288.35315885
279,Oct,3.72727272727,SW,279,2079818.18181666,69.75,659,351,393,2.325,4843.75,32894.1,5386.095,55158.3,11625,670299.479166667,139500,100884.756723096,1059226.7009269
335,Nov,3.45454545455,SW,335,2314545.4545485,83.75,659,351,393,2.79166666666667,5815.97222222222,39496.5,6467.175,66229.5,13958.3333333333,671028.645833333,167500,121134.026889739,1222915.30126987
405,Dec,3.18181818182,SW,405,2577272.7272742,101.25,659,351,393,3.375,7031.25,47749.5,7818.525,80068.5,16875,671940.104166667,202500,146445.614598043,1396844.23350949
525,Jan,2.90909090909,SW,525,3054545.4545445,131.25,659,351,393,4.375,9114.58333333333,61897.5,10135.125,103792.5,21875,673502.604166667,262500,189836.907812278,1721891.23423222
532,Feb,2.63636363636,SW,532,2805090.90908704,133,659,351,393,4.43333333333333,9236.11111111111,62722.8,10270.26,105176.4,22166.6666666667,673593.75,266000,192368.066583109,1463556.85472615
694,Mar,2.36363636364,SW,694,3280727.27273232,173.5,659,351,393,5.78333333333333,12048.6111111111,81822.6,13397.67,137203.8,28916.6666666667,675703.125,347000,250946.312422326,1733688.48753222
891,Apr,2.09090909091,SW,891,3726000.00000162,222.75,659,351,393,7.425,15468.75,105048.9,17200.755,176150.7,37125,678268.229166667,445500,322180.352115695,1929057.31371926
1066,May,1.81818181818,SW,1066,3876363.63635976,266.5,659,351,393,8.88333333333333,18506.9444444444,125681.4,20579.13,210748.2,44416.6666666667,680546.875,533000,385459.321386454,1857425.09886219
0,Jun,1.54545454545,SW,1109.66799781,0,0,659,351,393,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Jul,1.27272727273,SW,670.420556755,0,0,659,351,393,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Aug,1,SW,442.626132882,0,0,659,351,393,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
