demand,month,price,region,sales,revenue,weekly_demand,storage_dist,g_p_dist,p_s_dist,num_tanker_cars_needed,tanker_car_weekly_purchase_cost,tanker_car_weekly_travel_cost,g_p_weekly_cost,storage_market_weekly_cost,weekly_proc_build,weekly_proc_maint,reconstitution_cost,raw_material_cost,manufacturing_cost,profit
272,Sep,4,NE,68,2176000,68,479.1429,773,317,2.26666666666667,4722.22222222222,25867.2,11564.08,39098.06064,11333.3333333333,670208.333333333,44200,89021.6186832773,136000,1143985.15178783
322,Oct,3.72727272727,NE,322,2400363.63636188,80.5,479.1429,773,317,2.68333333333333,5590.27777777778,30622.2,13689.83,46285.20414,13416.6666666667,670859.375,52325,105385.886823586,161000,1301189.19595385
263,Nov,3.45454545455,NE,263,1817090.9090933,65.75,479.1429,773,317,2.19166666666667,4565.97222222222,25011.3,11181.445,37804.37481,10958.3333333333,670091.145833333,42737.5,86076.0504180218,131500,797164.787476389
443,Dec,3.18181818182,NE,443,2819090.90909252,110.75,479.1429,773,317,3.69166666666667,7690.97222222222,42129.3,18834.145,63678.09141,18458.3333333333,672434.895833333,71987.5,144987.415723132,221500,1557390.2555705
471,Jan,2.90909090909,NE,471,2740363.63636278,117.75,479.1429,773,317,3.925,8177.08333333333,44792.1,20024.565,67702.89177,19625,672799.479166667,76537.5,154151.405881705,235500,1441053.61121108
642,Feb,2.63636363636,NE,642,3385090.90908624,160.5,479.1429,773,317,5.35,11145.8333333333,61054.2,27294.63,92282.92254,26750,675026.041666667,104325,210117.202921559,321000,1856095.07862468
889,Mar,2.36363636364,NE,889,4202545.45455192,222.25,479.1429,773,317,7.40833333333333,15434.0277777778,84543.9,37795.835,127787.41143,37041.6666666667,678242.1875,144462.5,290956.687534682,444500,2341781.23864279
1233,Apr,2.09090909091,NE,1233,5156181.81818406,308.25,479.1429,773,317,10.275,21406.25,117258.3,52420.995,177234.95871,51375,682721.354166667,200362.5,403542.852340003,616500,2833359.60796739
1669,May,1.81818181818,NE,1669,6069090.90908484,417.25,479.1429,773,317,13.9083333333333,28975.6944444444,158721.9,70957.535,239906.85003,69541.6666666667,688398.4375,271212.5,546239.270523492,834500,3160637.05492024
0,Jun,1.54545454545,NE,1715.12335937,0,0,479.1429,773,317,0,0,0,0,0,0,666666.666666667,0,0,0,-666666.666666667
0,Jul,1.27272727273,NE,248.939675633,0,0,479.1429,773,317,0,0,0,0,0,0,666666.666666667,0,0,0,-666666.666666667
0,Aug,1,NE,454.424059916,0,0,479.1429,773,317,0,0,0,0,0,0,666666.666666667,0,0,0,-666666.666666667
316,Sep,4,MA,79,2528000,79,286.7647,773,317,2.63333333333333,5486.11111111111,30051.6,13434.74,27185.29356,13166.6666666667,670781.25,51350,103422.174646749,158000,1455122.16401547
547,Oct,3.72727272727,MA,547,4077636.36363338,136.75,286.7647,773,317,4.55833333333333,9496.52777777778,52019.7,23255.705,47058.08727,22791.6666666667,673789.0625,88887.5,179025.093454973,273500,2707813.02096396
733,Nov,3.45454545455,MA,733,5064363.6363703,183.25,286.7647,773,317,6.10833333333333,12725.6944444444,69708.3,31163.495,63059.55753,30541.6666666667,676210.9375,119112.5,239900.17093692,366500,3455441.31429227
712,Dec,3.18181818182,MA,712,4530909.09091168,178,286.7647,773,317,5.93333333333333,12361.1111111111,67711.2,30270.68,61252.93992,29666.6666666667,675937.5,115700,233027.178317991,356000,2948981.81489591
1096,Jan,2.90909090909,MA,1096,6376727.27272528,274,286.7647,773,317,9.13333333333333,19027.7777777778,104229.6,46596.44,94288.23336,45666.6666666667,680937.5,178100,358704.757635559,548000,4301176.29728528
1253,Feb,2.63636363636,MA,1253,6606727.27271816,313.25,286.7647,773,317,10.4416666666667,21753.4722222222,119160.3,53271.295,107794.85073,52208.3333333333,682981.770833333,203612.5,410088.559596127,626500,4329356.19100314
1669,Mar,2.36363636364,MA,1669,7889818.18183032,417.25,286.7647,773,317,13.9083333333333,28975.6944444444,158721.9,70957.535,143583.08529,69541.6666666667,688398.4375,271212.5,546239.270523492,834500,5077688.09240572
2428,Apr,2.09090909091,MA,2428,10153454.545459,607,286.7647,773,317,20.2333333333333,42152.7777777778,230902.8,103226.42,208879.40748,101166.666666667,698281.25,394550,794648.860893373,1214000,6365646.36264114
2873,May,1.81818181818,MA,2873,10447272.7272623,718.25,286.7647,773,317,23.9416666666667,49878.4722222222,273222.3,122145.595,247162.49493,119708.333333333,704075.520833333,466862.5,940290.847342117,1436500,6087426.66360127
0,Jun,1.54545454545,MA,4230.78361315,0,0,286.7647,773,317,0,0,0,0,0,0,666666.666666667,0,0,0,-666666.666666667
0,Jul,1.27272727273,MA,471.978345883,0,0,286.7647,773,317,0,0,0,0,0,0,666666.666666667,0,0,0,-666666.666666667
0,Aug,1,MA,993.521474146,0,0,286.7647,773,317,0,0,0,0,0,0,666666.666666667,0,0,0,-666666.666666667
224,Sep,4,SE,56,1792000,56,712.1667,773,317,1.86666666666667,3888.88888888889,21302.4,9523.36,47857.60224,9333.33333333333,669583.333333333,36400,73311.9212685813,112000,808799.160935863
244,Oct,3.72727272727,SE,244,1818909.09090776,61,712.1667,773,317,2.03333333333333,4236.11111111111,23204.4,10373.66,52130.60244,10166.6666666667,669843.75,39650,79857.6285247047,122000,807446.272165278
309,Nov,3.45454545455,SE,309,2134909.0909119,77.25,712.1667,773,317,2.575,5364.58333333333,29385.9,13137.135,66017.85309,12875,670690.104166667,50212.5,101131.177107105,154500,1031594.83821479
290,Dec,3.18181818182,SE,290,1845454.5454556,72.5,712.1667,773,317,2.41666666666667,5034.72222222222,27579,12329.35,61958.5029,12083.3333333333,670442.708333333,47125,94912.7552137883,145000,768989.173452923
500,Jan,2.90909090909,SE,500,2909090.90909,125,712.1667,773,317,4.16666666666667,8680.55555555556,47550,21257.5,106825.005,20833.3333333333,673177.083333333,81250,163642.681403083,250000,1535874.75046469
520,Feb,2.63636363636,SE,520,2741818.1818144,130,712.1667,773,317,4.33333333333333,9027.77777777778,49452,22107.8,111098.0052,21666.6666666667,673437.5,84500,170188.388659207,260000,1340340.04351075
568,Mar,2.36363636364,SE,568,2685090.90909504,142,712.1667,773,317,4.73333333333333,9861.11111111111,54016.8,24148.52,121353.20568,23666.6666666667,674062.5,92300,185898.086073903,284000,1215784.01956336
814,Apr,2.09090909091,SE,814,3404000.00000148,203.5,712.1667,773,317,6.78333333333333,14131.9444444444,77411.4,34607.21,173911.10814,33916.6666666667,677265.625,132275,266410.28532422,407000,1587070.76042615
1121,May,1.81818181818,SE,1121,4076363.63635956,280.25,712.1667,773,317,9.34166666666667,19461.8055555556,106607.1,47659.315,239501.66121,46708.3333333333,681263.020833333,182162.5,366886.891705713,560500,1825613.00872162
0,Jun,1.54545454545,SE,1512.00980968,0,0,712.1667,773,317,0,0,0,0,0,0,666666.666666667,0,0,0,-666666.666666667
0,Jul,1.27272727273,SE,265.148662844,0,0,712.1667,773,317,0,0,0,0,0,0,666666.666666667,0,0,0,-666666.666666667
0,Aug,1,SE,340.565394326,0,0,712.1667,773,317,0,0,0,0,0,0,666666.666666667,0,0,0,-666666.666666667
176,Sep,4,MW,44,1408000,44,368.5909,1528,98,1.46666666666667,3055.55555555556,5174.4,14791.04,19461.59952,7333.33333333333,668958.333333333,28600,57602.2238538853,88000,515023.514403892
332,Oct,3.72727272727,MW,332,2474909.09090728,83,368.5909,1528,98,2.76666666666667,5763.88888888889,9760.8,27901.28,36711.65364,13833.3333333333,670989.583333333,53950,108658.740451647,166000,1381339.81126008
408,Nov,3.45454545455,MW,408,2818909.0909128,102,368.5909,1528,98,3.4,7083.33333333333,11995.2,34288.32,45115.52616,17000,671979.166666667,66300,133532.428024916,204000,1627615.11672788
513,Dec,3.18181818182,MW,513,3264545.45454732,128.25,368.5909,1528,98,4.275,8906.25,15082.2,43112.52,56726.13951,21375,673346.354166667,83362.5,167897.391119563,256500,1938237.09975109
642,Jan,2.90909090909,MW,642,3735272.72727156,160.5,368.5909,1528,98,5.35,11145.8333333333,18874.8,53953.68,70990.60734,26750,675026.041666667,104325,210117.202921559,321000,2243089.56201
808,Feb,2.63636363636,MW,808,4260363.63635776,202,368.5909,1528,98,6.73333333333333,14027.7777777778,23755.2,67904.32,89346.43416,33666.6666666667,677187.5,131300,264446.573147383,404000,2554729.16460593
797,Mar,2.36363636364,MW,797,3767636.36364216,199.25,368.5909,1528,98,6.64166666666667,13836.8055555556,23431.8,66979.88,88130.08419,33208.3333333333,677044.270833333,129512.5,260846.434156515,398500,2076146.25557342
1305,Apr,2.09090909091,MW,1305,5457272.7272751,326.25,368.5909,1528,98,10.875,22656.25,38367,109672.2,144303.33735,54375,683658.854166667,212062.5,427107.398462048,652500,3112570.18729639
1461,May,1.81818181818,MW,1461,5312727.27272196,365.25,368.5909,1528,98,12.175,25364.5833333333,42953.4,122782.44,161553.39147,60875,685690.104166667,237412.5,478163.91505981,730500,2767431.93869215
0,Jun,1.54545454545,MW,1550.19538555,0,0,368.5909,1528,98,0,0,0,0,0,0,666666.666666667,0,0,0,-666666.666666667
0,Jul,1.27272727273,MW,319.222035447,0,0,368.5909,1528,98,0,0,0,0,0,0,666666.666666667,0,0,0,-666666.666666667
0,Aug,1,MW,417.595591009,0,0,368.5909,1528,98,0,0,0,0,0,0,666666.666666667,0,0,0,-666666.666666667
208,Sep,4,DS,52,1664000,52,413.375,381,140,1.73333333333333,3611.11111111111,8736,4358.64,25794.6,8666.66666666667,669375,33800,78670.08335511,104000,726987.898867112
199,Oct,3.72727272727,DS,199,1483454.54545346,49.75,413.375,381,140,1.65833333333333,3454.86111111111,8358,4170.045,24678.4875,8291.66666666667,669257.8125,32337.5,75266.0893637831,99500,558140.083311899
302,Nov,3.45454545455,DS,302,2086545.4545482,75.5,413.375,381,140,2.51666666666667,5243.05555555556,12684,6328.41,37451.775,12583.3333333333,670598.958333333,49075,114222.909486746,151000,1027358.01283923
311,Dec,3.18181818182,DS,311,1979090.90909204,77.75,413.375,381,140,2.59166666666667,5399.30555555556,13062,6517.005,38567.8875,12958.3333333333,670716.145833333,50537.5,117626.903478073,155500,908205.828391745
347,Jan,2.90909090909,DS,347,2018909.09090846,86.75,413.375,381,140,2.89166666666667,6024.30555555556,14574,7271.385,43032.3375,14458.3333333333,671184.895833333,56387.5,131242.879443381,173500,901233.454242857
442,Feb,2.63636363636,DS,442,2330545.45454224,110.5,413.375,381,140,3.68333333333333,7673.61111111111,18564,9262.11,54813.525,18416.6666666667,672421.875,71825,167173.927129609,221000,1089394.73963485
664,Mar,2.36363636364,DS,664,3138909.09091392,166,413.375,381,140,5.53333333333333,11527.7777777778,27888,13914.12,82344.3,27666.6666666667,675312.5,107900,251139.112249005,332000,1609216.61422047
710,Apr,2.09090909091,DS,710,2969090.9090922,177.5,413.375,381,140,5.91666666666667,12326.3888888889,29820,14878.05,88048.875,29583.3333333333,675911.458333333,115375,268537.303760231,355000,1379610.49977641
1064,May,1.81818181818,DS,1064,3869090.90908704,266,413.375,381,140,8.86666666666667,18472.2222222222,44688,22296.12,131949.3,44333.3333333333,680520.833333333,172900,402427.734085755,532000,1819503.3661124
0,Jun,1.54545454545,DS,1107.2759049,0,0,413.375,381,140,0,0,0,0,0,0,666666.666666667,0,0,0,-666666.666666667
0,Jul,1.27272727273,DS,216.573789944,0,0,413.375,381,140,0,0,0,0,0,0,666666.666666667,0,0,0,-666666.666666667
0,Aug,1,DS,385.281698575,0,0,413.375,381,140,0,0,0,0,0,0,666666.666666667,0,0,0,-666666.666666667
92,Sep,4,NW,23,736000,23,659.125,351,393,0.766666666666667,1597.22222222222,10846.8,1776.06,18191.85,3833.33333333333,667864.583333333,14950,33266.6581309135,46000,-62326.5070198025
112,Oct,3.72727272727,NW,112,834909.09090848,28,659.125,351,393,0.933333333333333,1944.44444444444,13204.8,2162.16,22146.6,4666.66666666667,668125,18200,40498.540333286,56000,7960.87946408289
106,Nov,3.45454545455,NW,106,732363.6363646,26.5,659.125,351,393,0.883333333333333,1840.27777777778,12497.4,2046.33,20960.175,4416.66666666667,668046.875,17225,38328.9756725743,53000,-85998.0637524187
164,Dec,3.18181818182,NW,164,1043636.36363696,41,659.125,351,393,1.36666666666667,2847.22222222222,19335.6,3166.02,32428.95,6833.33333333333,668802.083333333,26650,59301.4340594545,82000,142271.720688617
195,Jan,2.90909090909,NW,195,1134545.4545451,48.75,659.125,351,393,1.625,3385.41666666667,22990.5,3764.475,38558.8125,8125,669205.729166667,31687.5,70510.8514731319,97500,188817.169738635
266,Feb,2.63636363636,NW,266,1402545.45454352,66.5,659.125,351,393,2.21666666666667,4618.05555555556,31361.4,5135.13,52598.175,11083.3333333333,670130.208333333,43225,96184.0332915543,133000,355210.119029743
331,Mar,2.36363636364,NW,331,1564727.27272968,82.75,659.125,351,393,2.75833333333333,5746.52777777778,39024.9,6389.955,65451.1125,13791.6666666667,670976.5625,53787.5,119687.650449265,165500,424371.397835971
392,Apr,2.09090909091,NW,392,1639272.72727344,98,659.125,351,393,3.26666666666667,6805.55555555556,46216.8,7567.56,77513.1,16333.3333333333,671770.833333333,63700,141744.891166501,196000,411620.653884717
586,May,1.81818181818,NW,586,2130909.09090696,146.5,659.125,351,393,4.88333333333333,10173.6111111111,69089.4,11312.73,115874.175,24416.6666666667,674296.875,95225,211894.148529514,293000,625626.484599668
0,Jun,1.54545454545,NW,553.954461371,0,0,659.125,351,393,0,0,0,0,0,0,666666.666666667,0,0,0,-666666.666666667
0,Jul,1.27272727273,NW,114.42759619,0,0,659.125,351,393,0,0,0,0,0,0,666666.666666667,0,0,0,-666666.666666667
0,Aug,1,NW,187.011393026,0,0,659.125,351,393,0,0,0,0,0,0,666666.666666667,0,0,0,-666666.666666667
236,Sep,4,SW,59,1888000,59,659,351,393,1.96666666666667,4097.22222222222,27824.4,4555.98,46657.2,9833.33333333333,669739.583333333,38350,85336.2099879955,118000,883606.071123115
277,Oct,3.72727272727,SW,277,2064909.09090758,69.25,659,351,393,2.30833333333333,4809.02777777778,32658.3,5347.485,54762.9,11541.6666666667,670273.4375,45012.5,100161.568502859,138500,1001842.20546028
291,Nov,3.45454545455,SW,291,2010545.4545481,72.75,659,351,393,2.425,5052.08333333333,34308.9,5617.755,57530.7,12125,670455.729166667,47287.5,105223.88604452,145500,927443.90100358
376,Dec,3.18181818182,SW,376,2392727.27272864,94,659,351,393,3.13333333333333,6527.77777777778,44330.4,7258.68,74335.2,15666.6666666667,671562.5,61100,135959.385404603,188000,1187986.66287959
431,Jan,2.90909090909,SW,431,2507636.36363558,107.75,659,351,393,3.59166666666667,7482.63888888889,50814.9,8320.455,85208.7,17958.3333333333,672278.645833333,70037.5,155847.061461127,215500,1224188.1291189
437,Feb,2.63636363636,SW,437,2304181.81817864,109.25,659,351,393,3.64166666666667,7586.80555555556,51522.3,8436.285,86394.9,18208.3333333333,672356.770833333,71012.5,158016.626121839,218500,1012147.29733458
671,Mar,2.36363636364,SW,671,3172000.00000488,167.75,659,351,393,5.59166666666667,11649.3055555556,79110.9,12953.655,132656.7,27958.3333333333,675403.645833333,109037.5,242629.647889597,335500,1545100.31239306
904,Apr,2.09090909091,SW,904,3780363.63636528,226,659,351,393,7.53333333333333,15694.4444444444,106581.6,17451.72,178720.8,37666.6666666667,678437.5,146900,326881.075547237,452000,1820029.82970693
1070,May,1.81818181818,SW,1070,3890909.0909052,267.5,659,351,393,8.91666666666667,18576.3888888889,126153,20656.35,211539,44583.3333333333,680598.958333333,173875,386905.697826929,535000,1693021.36252272
0,Jun,1.54545454545,SW,1211.3688178,0,0,659,351,393,0,0,0,0,0,0,666666.666666667,0,0,0,-666666.666666667
0,Jul,1.27272727273,SW,190.357562914,0,0,659,351,393,0,0,0,0,0,0,666666.666666667,0,0,0,-666666.666666667
0,Aug,1,SW,388.164749696,0,0,659,351,393,0,0,0,0,0,0,666666.666666667,0,0,0,-666666.666666667
